Name	GWP_constr	GWP_op
NUCLEAR	86.859236	0.000000
CCGT	200.596493	0.000000
COAL_US	20.511829	0.000000
COAL_IGCC	0.000000	0.000000
PV	1575.309481	0.000000
PT_POWER_BLOCK	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000
STIRLING_DISH	0.000000	0.000000
WIND_ONSHORE	789.628468	0.000000
WIND_OFFSHORE	0.000000	0.000000
HYDRO_DAM	688.176881	0.000000
HYDRO_RIVER	36.847825	0.000000
NEW_TIDAL_STREAM	0.000000	0.000000
TIDAL_STREAM	0.000000	0.000000
TIDAL_RANGE	0.000000	0.000000
WAVE	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	213.889445	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	24.782242	0.000000
IND_BOILER_GAS	3.608541	0.000000
IND_BOILER_WOOD	1.976509	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	2.968666	0.000000
IND_BOILER_WASTE	3.953018	0.000000
IND_DIRECT_ELEC	0.000000	0.000000
DHN_HP_ELEC	0.000000	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	48.903170	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	251.630560	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	38.650498	0.000000
DEC_BOILER_WOOD	22.373076	0.000000
DEC_BOILER_OIL	21.414820	0.000000
DEC_SOLAR	167.984993	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
BIG_SPLIT	0.000000	0.000000
CHILLER_WC	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
BOAT_PASS_DIESEL	0.000000	0.000000
BOAT_PASS_NG	0.000000	0.000000
PLANES	0.000000	0.000000
CAR_GASOLINE	12673.008507	0.000000
CAR_DIESEL	8040.357390	0.000000
MOTORCYCLE	18679.263497	0.000000
CAR_NG	859.129948	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	1457.867366	0.000000
CAR_FUEL_CELL	78.600000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000
PHS	460.149200	0.000000
BATT_LI	0.000000	0.000000
CAES	0.000000	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
SEASONAL_NG	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
SLF_STO	0.000000	0.000000
PT_STORAGE	0.000000	0.000000
ST_STORAGE	0.000000	0.000000
TS_MOLTEN_SALT	0.000000	0.000000
TS_COLD	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
PT_COLLECTOR	0.000000	0.000000
ST_COLLECTOR	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
SLF_TO_DIESEL	0.000000	0.000000
SLF_TO_GASOLINE	0.000000	0.000000
