Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	388.311581	0.000000
PT_POWER_BLOCK	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000
STIRLING_DISH	0.000000	0.000000
WIND_ONSHORE	4422.449969	0.000000
WIND_OFFSHORE	0.000000	0.000000
HYDRO_DAM	688.176881	0.000000
HYDRO_RIVER	36.847509	0.000000
NEW_TIDAL_STREAM	0.000000	0.000000
TIDAL_STREAM	0.000000	0.000000
TIDAL_RANGE	0.000000	0.000000
WAVE	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.000000	0.000000
IND_BOILER_WOOD	9.591196	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	8.197384	0.000000
IND_DIRECT_ELEC	0.676147	0.000000
DHN_HP_ELEC	61.258257	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	10.322067	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	107.053407	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	246.562568	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	12.051475	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000
DEC_SOLAR	77.737521	0.000000
DEC_DIRECT_ELEC	3.425010	0.000000
BIG_SPLIT	0.000000	0.000000
CHILLER_WC	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
BOAT_PASS_DIESEL	0.000000	0.000000
BOAT_PASS_NG	0.000000	0.000000
PLANES	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
MOTORCYCLE	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	59526.428535	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000
PHS	460.149200	0.000000
BATT_LI	0.000000	0.000000
CAES	0.000000	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
SEASONAL_NG	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
SLF_STO	0.000000	0.000000
PT_STORAGE	0.000000	0.000000
ST_STORAGE	0.000000	0.000000
TS_MOLTEN_SALT	0.000000	0.000000
TS_COLD	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
PT_COLLECTOR	0.000000	0.000000
ST_COLLECTOR	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
SLF_TO_DIESEL	0.000000	0.000000
SLF_TO_GASOLINE	0.000000	0.000000
SLF_TO_LFO	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
NG	0.000000	0.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	0.000000	0.000000
WASTE	0.000000	9933.183000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
KEROSENE	0.000000	0.000000
